Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1067,FALSE,/v0sblc9A8eaE8EqDQ5Y6fELj4oB.jpg,"[27, 10402]",507076,fr,Climax,Young dancers gather in a remote and empty school building to rehearse on a cold and wintry night. The all-night celebration soon turns into a hallucinatory nightmare when they learn that their sangria is laced with LSD.,15.145,/47IXH2iEWwX0F7vIyGXaKQ0psBG.jpg,19-09-18,Climax,FALSE,7.1,1703,2940457,1088907,Belgium,Horror,,2020
1068,FALSE,/5u0ImRdr8Z6uyDfmSWcThXEb8cl.jpg,"[27, 53]",467660,en,Unsane,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,15.142,/jzxgMYk6zRMIIp8m28iatTe70dp.jpg,21-02-18,Unsane,FALSE,6.3,1321,1500000,14293601,United States of America,Horror,,2020
1070,FALSE,/loJeVTot5DionlqKEZiHGjh2xE3.jpg,"[53, 27, 35]",401561,en,Mom and Dad,"In a suburban community, moms and dads, one after the other, mysteriously feel the irresistible impulse to attack and kill their own offspring.",15.134,/vjjFEFMhENFQUmUn15zGaCJBD0A.jpg,19-01-18,Mom and Dad,FALSE,5.4,844,0,169209,United Kingdom,Thriller,,2020
1071,FALSE,/zpkWkIXEwSErbIgOlh1NkwQ6Pyj.jpg,"[80, 18, 53, 36]",407448,en,Detroit,A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.,15.131,/tmCt2hy9QoFHft3UcHwpGX2Sihl.jpg,28-07-17,Detroit,FALSE,7.3,1443,34000000,23355100,United States of America,Crime,,2020
1072,FALSE,/nyvZvv6d3YfJ7i4zJhfdypvhtMb.jpg,"[12, 28, 16, 878]",408648,en,Batman and Harley Quinn,"Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man.",15.128,/zZVVSdgrOr1QIlcxcobQHG4IQyA.jpg,14-08-17,Batman and Harley Quinn,FALSE,6.1,511,3500000,0,United States of America,Adventure,,2020
1074,FALSE,/mCDq4ytVdxmWiY0vqSS6Fmbz9Hy.jpg,"[80, 18, 10749]",621191,en,Blue Story,"Blue Story is a tragic tale of a friendship between Timmy and Marco, two young boys from opposing postcodes. Timmy, a shy, smart, naive and timid young boy from Deptford, goes to school in Peckham where he strikes up a friendship with Marco, a charismatic, streetwise kid from the local area. Although from warring postcodes, the two quickly form a firm friendship until it is tested and they wind up on rival sides of a street war. Blue Story depicts elements of Rapman's own personal experiences and aspects of his childhood.",15.12,/wUggWBMN8xUNVasYsroyUUPmaKa.jpg,22-11-19,Blue Story,FALSE,7.3,169,1600000,5750000,United Kingdom,Crime,,2020
1075,FALSE,/kU2FAKmAysoACykvryNBQshlK8o.jpg,[10749],532444,ko,너의 결혼식,"Through the course of their lives, a man and his first love  are repeatedly separated from each other because of circumstances out of their control.",15.118,/svBWm58bMpGKueNmfeCF3OZk7rs.jpg,22-08-18,On Your Wedding Day,FALSE,7.5,139,0,20895905,South Korea,Romance,,2020
1077,FALSE,/x4UkhIQuHIJyeeOTdcbZ3t3gBSa.jpg,"[28, 12]",718444,en,Rogue,"Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels.",15.08,/uOw5JD8IlD546feZ6oxbIjvN66P.jpg,20-08-20,Rogue,FALSE,5.6,589,0,139757,South Africa,Action,,2020
1078,FALSE,/60XJOemSR9LQRDgBMRN7qkdLsPH.jpg,[53],392207,es,El guardián invisible,"When the naked body of a teenage girl is found on the banks of the River Baztán, it is quickly linked to a similar murder one month before. Soon, rumours are flying in the nearby village of Elizondo. Is this the work of a ritualistic killer or is it the basajaun, the ‘invisible guardian’ of Basque mythology?  Inspector Amaia Salazar leads the investigation, taking her back to the heart of the Basque country where she was born, and where she hoped never to return. Shrouded in mist and surrounded by impenetrable forests, it is a place of unresolved conflicts and a terrible secret from Amaia’s childhood that will come back to haunt her.  Faced with the superstitions of the village, Amaia must fight the demons of her past to confront the reality of a serial killer on the loose. But as she is drawn deeper into the investigation, she feels the presence of something darker lurking in the shadows…",15.071,/uxR7CqLRdQ2QuOPP9ymunPrRBCq.jpg,03-03-17,The Invisible Guardian,FALSE,6.5,577,5000000,0,Germany,Thriller,,2020
1081,FALSE,/rBkoMdc82fVBJDj9iFnxYvWklVp.jpg,"[18, 53, 10749]",423612,de,Werk ohne Autor,"The story of Kurt, a young art student who falls in love with fellow student, Ellie. Ellie’s father, Professor Seeband, a famous doctor, is dismayed at his daughter’s choice of boyfriend, and vows to destroy the relationship. What neither of them knows is that their lives are already connected through a terrible crime Seeband committed decades ago.",15.06,/fn0Tp9SG0IQ3Nx8iHPYPiseLMWd.jpg,03-10-18,Never Look Away,FALSE,7.8,564,0,4831836,Germany,Drama,,2020
1082,FALSE,/qLYtITl4Yrl9G9yYcFA2D6b61gh.jpg,"[53, 36, 18, 28]",416144,en,Hotel Mumbai,"Mumbai, India, November 26, 2008. While several terrorists spread hatred and death through the city, others attack the Taj Mahal Palace Hotel. Both hotel staff and guests risk their lives, making unthinkable sacrifices to protect themselves and keep everyone safe while help arrives.",15.046,/v32SC4HFZtlDRWXMaR2V2dWqAXJ.jpg,14-03-19,Hotel Mumbai,FALSE,7.6,1273,0,16872691,Australia,Thriller,,2020
1083,FALSE,/bwwqixrDaChn0mJtbVL0oZtYjoW.jpg,[27],444149,en,Hellraiser: Judgment,"Detectives Sean and David Carter are on the case to find a gruesome serial killer terrorizing the city. Joining forces with Detective Christine Egerton, they dig deeper into a spiraling maze of horror that may not be of this world.",15.043,/wDAvDtcvPhkBjGIrHRPhhkMnLuj.jpg,13-02-18,Hellraiser: Judgment,FALSE,5.1,216,350000,426290,United States of America,Horror,,2020
1086,FALSE,/itdm9wqCo03NZ3CGSz5P7eiMo68.jpg,"[18, 27, 80, 53]",398173,en,The House That Jack Built,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",15.02,/rHR3Z5QWzODnoI2GeYtEIHiz1R8.jpg,04-10-18,The House That Jack Built,FALSE,7.2,2240,9800000,5566776,Denmark,Drama,,2020
1093,FALSE,/llMc0bO5G8jpkMqqcLNy7Y8LYBf.jpg,"[80, 18, 35]",541305,en,Kajillionaire,"Two con artists have spent 26 years training their only daughter to swindle, scam and steal at every turn. During a desperate and hastily conceived heist, they charm a stranger into joining them, only to have their entire world turned upside down.",14.951,/fkqJJDb4u9rEyJu8Jm8H1P2mux4.jpg,25-09-20,Kajillionaire,FALSE,6.3,328,0,829900,United States of America,Crime,,2020
1094,FALSE,/f0WOxTQYjS0iNJg4RzertWIZSHj.jpg,"[80, 18, 53]",500682,en,The Highwaymen,"In 1934, Frank Hamer and Manny Gault, two former Texas Rangers, are commissioned to put an end to the wave of vicious crimes perpetrated by Bonnie Parker and Clyde Barrow, a notorious duo of infamous robbers and cold-blooded killers who nevertheless are worshiped by the public.",14.949,/4bRYg4l12yDuJvAfqvUOPnBrxno.jpg,15-03-19,The Highwaymen,FALSE,6.7,1699,49000000,0,United States of America,Crime,,2020
1095,FALSE,/acVTs9FgYldZ5hBxT0MJA2Rdb0z.jpg,"[16, 35, 12, 10751]",580600,fr,"Terra Willy, planète inconnue","Upon the destruction of their ship, Willy is separated from his parents. He lands on a wild and unexplored planet and with the help of Buck, a survival robot, he will have to hold until the arrival of a rescue mission.",14.943,/vwqEIL5SrsZFVvileNe9LuHbJy7.jpg,03-04-19,Astro Kid,FALSE,7.1,161,5100000,3123088,France,Animation,,2020
1098,FALSE,/5AhkjcqqRxBdpYZ0TeOuTCuOUYq.jpg,"[53, 80]",429200,en,Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",14.916,/s6DJXJU3HzX24Ij3VWg5MfVGHrI.jpg,11-08-17,Good Time,FALSE,7.2,2404,0,3283369,United States of America,Thriller,,2020
1100,FALSE,/zxHHmvUYlYhBuBmZpIrjnamCO3c.jpg,"[28, 35]",505746,no,Børning 3,"The third and final instalment in the Burnout trilogy. This time, the road leads through Norway, to Sweden, Denmark and finally Germany to race on the famous racing track, Nürburgring.",14.896,/4xga1DMRKfdkS6uzLwzCGvbRiyL.jpg,14-10-20,Asphalt Burning,FALSE,5.4,107,8129089,0,Germany,Action,,2020
1104,FALSE,/noNMHp461qETqftTGRC4xJtJ8Pf.jpg,"[28, 53]",454615,en,Black Water,"A deep cover operative awakens to find himself imprisoned on a submarine. With the help of a fellow prisoner and an amateur agent, he must race against the clock to escape the vessel and expose who set him up.",14.868,/tIcZAB5AmRN8fIDXfDZ2aUok9qa.jpg,18-05-18,Black Water,FALSE,5.7,210,4000000,0,Canada,Action,,2020
1105,FALSE,/3nQrVnuYy0qDnyKT3EiedkCK1hg.jpg,"[16, 35, 28, 12, 10751]",550738,fr,Spycies,"Vladimir and Hector, two secret agents opposed in every way, are trying to recover a top secret material stolen by unknown intruders.",14.868,/yfrB9E1hiXU4D4Axw4DpIZtUqRf.jpg,11-01-20,Spycies,FALSE,7.5,179,0,6928960,China,Animation,,2020
