,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
826,False,/yI8bIAo7NZOkOjJUlX12YSovTPI.jpg,[878],522981,ru,Turbo,"The story is about a mysterious event that changes fates of a dreamy young Russian woman, a middle-aged American DJ and a pregnant Romanian.",0.6,/f0U6VvKYN6aC1hRYQHf5lXaeQ3Z.jpg,2017-03-03,Turbo,False,0.0,0
827,False,,"[18, 10751, 14]",522985,as,Ishu,"Ambika, little Ishu's favourite aunt, has gone missing after the evil village quack has declared her as a witch. Will Ishu get her back",0.6,,2017-06-06,Ishu,False,7.0,1
828,False,/9jz9itV3b2dFYJ1WG3VfRsjE37s.jpg,[27],522987,en,Inside Evil,During an afternoon session of drinks and shots a group of people decides to visit a house which is claimed to be populated by evil spirits.,0.6,/tYK9uDtbVGcwbIhPshAN2jvLK0.jpg,2017-01-15,Inside Evil,False,0.0,0
829,False,,[],522996,zh,鄉愁／餘像,"About the past , my memory are fading and The past ""I"" is also vanishing . Considering the question of the relation between ""I"" and its image and death.",0.6,/asl20AzLSI0XXwYl2eQHbWhJL8M.jpg,2017-06-04,Spectrum of Nostalgia,False,0.0,0
830,False,/nPs2RFAsNizuYPFJBhl6ppMQVAR.jpg,[18],523014,es,Una función para olvidar,,0.629,/nBXxUjBWJ9Pg5N7BNFlpg6sHHRR.jpg,2017-11-10,Una función para olvidar,False,7.0,1
831,False,,[99],523043,ja,三里塚のイカロス,"A companion piece to The Wages of Resistance: Narita Stories, which dealt with the protests against the construction of Narita Airport. Depicts the lives of youth who fought alongside farmers against the nation state.  Farmers launched a protest movement after the government decided to build a giant airport on the farming land of Sanrizuka in Narita City. Youth who believed in their ability to change the world supported the farmers' protests. Fifty years have gone by. The camera examines what used to be there and brings to light the past era buried beneath Narita Airport.",0.6,/vml8e8k6HOPaQXEUr81GvbNeL1a.jpg,2017-12-21,The Fall of Icarus: Narita Stories,False,0.0,0
832,False,/9trJj4yG18FGT29pPnUjtJd2ouq.jpg,[99],432602,en,An Inconvenient Sequel: Truth to Power,"A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public, funny and poignant—as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion.",10.275,/2WauUg4DcUxng5nwhisu7UFZq4Z.jpg,2017-07-28,An Inconvenient Sequel: Truth to Power,False,6.7,134
833,False,/9flA4J8OsqLk6KKc1ETRWi9Pays.jpg,[35],432603,da,Comedy Aid 2016,,0.6,/ihufSGlsqUHwMxzHLUFNMYgnhaM.jpg,2017-01-01,Comedy Aid 2016,False,0.0,0
834,False,/bcpaghnvzeAQSbQmaZcDqrFuySE.jpg,"[99, 10402]",432605,en,Buena Vista Social Club: Adios,"In 1996, Cuban bandleader Juan de Marcos Gonzalez, British producer Nick Gold, and American guitarist Ry Cooder convened in Havana to produce a Cuban-Malian collaboration. When the Malians couldn’t get visas, the team turned their attention to reviving a forgotten generation of legendary son cubano musicians and formed an on-the-fly ensemble: the Buena Vista Social Club.  Two decades since that fateful first session, we catch up to these master musicians, as they reflect on the magical unfolding of their lives—from humble origins to the evolution and surprising revival of their careers, all against the backdrop of Cuba’s dramatic history. Brimming with unseen concert, rehearsal, and archival footage, this film is an emotional, shimmering celebration of music’s power to transcend age, ideologies, and class, and to connect us to each other through our souls.",4.991,/XIjMjxEikTG3OCoLPNcb0xDSjJ.jpg,2017-05-26,Buena Vista Social Club: Adios,False,7.4,19
835,False,/ioU6utUf6ZQ956sg46dZDwLgOb7.jpg,"[9648, 27, 99]",432606,en,Sleep Has Her House,"The shadows of screams climb beyond the hills.  It has happened before. But this will be the last time.  The last few sense it, withdrawing deep into the forest.  They cry out into the black, as the shadows pass away, into the ground.",4.527,/xIFdTSIe3KVb2rxgBwfaWNdrFwx.jpg,2017-01-01,Sleep Has Her House,False,6.6,26
836,False,/jTowlS8hQK8sCBu1f7l2LHCBMX1.jpg,[99],432607,en,Dina,"Dina, an outspoken and eccentric 49-year-old in suburban Philadelphia, invites her fiancé Scott, a Walmart door greeter, to move in with her. Having grown up neurologically diverse in a world blind to the value of their experience, the two are head-over-heels for one another, but shacking up poses a new challenge. Scott freezes when it comes to physical intimacy, and Dina, a Kardashians fanatic, wants nothing more than to share with Scott all she’s learned about sensual desire from books, TV shows, and her previous marriage. Her increasingly creative forays to draw Scott close keep hitting roadblocks—exposing anxieties, insecurities, and communication snafus while they strive to reconcile their conflicting approaches to romance and intimacy.",3.393,/mSSZk7Cg1IDbyKoGJQ9PWWtCB6A.jpg,2017-10-04,Dina,False,6.5,17
837,False,,[],432611,fr,Metropole,"Having arrived in Paris in 1985, Hector did everything to be like “them”. In a notebook he finds in his flat, he crosses out a list of things he should do or pay attention to if he wants to become part of the French elite. In a painful dialogue with Martin, his alleged son, Hector notices himself in Martin; a young man full of dreams and ideals that turn out not to be matched by reality.  Metropole is a film about migration, about assimilation, about the haunting of one’s past. It is a film about identity; lost, assumed, false. Metropole tells the story of millions of people out there who leave their homes behind in order to find a new one.",0.6,,2017-01-01,Metropole,False,0.0,0
838,False,,[35],432612,en,It Happened in L.A.,"Annette might be judgmental, critical, and a total perfectionist—but only of the most charming variety. When she suddenly perceives that her relationship with her boyfriend, Elliot, is inferior to all the happy coupledom she sees among her friends, she decides they need to break up. Launched into the LA dating scene, where film industry jobs, old school bars, and elitist consumerism are the norm, Annette begins to realize that maybe meeting some cool new guy isn’t going to lead her to personal fulfillment.",0.6,/dt1C2jTsbOxP1A2sqpDHXrdaWiU.jpg,2017-11-03,It Happened in L.A.,False,5.0,3
839,False,/hNpGHBaF5P3rbteDHZqjPQFvm5o.jpg,[35],432613,fr,Épouse-moi mon pote,Yassine asks his best friend Fred to marry him in order to avoid deportation...,10.77,/lYGkGZhNKajryEyYOrIF6snqIYZ.jpg,2017-10-25,"Marry Me, Dude",False,6.3,865
840,False,/fJjk7ZcyOynykTgq5uhHALxFnBE.jpg,"[53, 18]",432614,fr,Tout nous sépare,A middle-class house in the middle of nowhere. A council estate in Sète. A mother and daughter. Two childhood friends. A vanishing. Blackmail. A clash between two worlds.,5.694,/zeWMS0Vu6egl2M6YdGlK619yoCs.jpg,2017-11-08,All That Divides Us,False,5.6,188
841,False,/oY5NWGRHyfJcchaJYZseQpIO7RE.jpg,[99],432615,en,Chasing Coral,"Coral reefs are the nursery for all life in the oceans, a remarkable ecosystem that sustains us. Yet with carbon emissions warming the seas, a phenomenon called “coral bleaching”—a sign of mass coral death—has been accelerating around the world, and the public has no idea of the scale or implication of the catastrophe silently raging underwater.",9.962,/AvRHRqI4ahmEwscylU10iaNo5RY.jpg,2017-03-16,Chasing Coral,False,7.7,104
842,False,/7xNRB4UWJhvxz4hUuSbhb8PGDdx.jpg,"[18, 10749]",432616,fr,La Promesse de l'aube,"From his childhood in Poland to his adolescence in Nice to his years as a student in Paris and his tough training as a pilot during World War II, this tragi-comedy tells the romantic story of Romain Gary, one of the most famous French novelists and sole writer to have won the Goncourt Prize for French literature two times.",9.212,/vkRt22pxIow6dtDLyS2sJKJIL3b.jpg,2017-12-20,Promise at Dawn,False,7.4,376
843,False,/kJfFqcP6jb1caPg6VMpAfkHUMLd.jpg,[35],432618,fr,Coexister,"Under the pressure of his boss, a music producer decides to set up a group consisting of a rabbi, a priest and an imam to make them sing the living together. But the religious he recruits are far from being saints ...",7.682,/lTXjPswcvDIqI72m4nuwEg12oPI.jpg,2017-10-11,Coexister,False,5.9,351
844,False,/xJ5seAIZzFEBr87GLRswet1ZT32.jpg,[99],432619,en,Dolores,"Dolores Huerta bucks 1950s gender conventions by starting the country's first farm worker's union with fellow organizer Cesar Chavez. What starts out as a struggle for racial and labor justice, soon becomes a fight for gender equality within the same union she is eventually forced to leave. As she wrestles with raising 11 children, three marriages, and is nearly beaten to death by a San Francisco tactical police squad, Dolores emerges with a vision that connects her new found feminism with racial and class justice.",2.024,/vmltoSoV2ta9vZITuVYoDRG8DLe.jpg,2017-01-20,Dolores,False,6.6,7
845,False,/mDtNUXS9IVb5M2kcdbK4mfe2pcn.jpg,[35],432622,fr,Rattrapage,Guillaume and his friends have planned to attend the biggest electronic music festical to celebrate their passing school… but Guillaume has to take the test once again and has to go over everything over the weekend.,5.14,/vRgotVcWfas25gCA2wYhRCPL6dl.jpg,2017-08-09,Rattrapage,False,5.5,115
846,False,/lqHhRkcy9YgZXkty664Q04I4JYT.jpg,"[35, 10749]",432627,fr,L'un dans l'autre,"Two couples, Pierre and Aimée, Éric and Pénélope, all share four years of friendship without cloud. Only concern, Penelope and Pierre have become lovers ... The situation becoming untenable, they decide to break. But after a final night of passionate love, fate plays a trick on them: Peter and Penelope each wake up in the body of the other! To protect their secrecy, they each find themselves having to live the life of the other. This is the beginning of the complications ...",6.85,/aXfXkbwOGuG0Z6NxBX79ghAtVDk.jpg,2017-09-20,In and Out,False,5.3,147
