,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget ,revenue,Country,Genre
1031,FALSE,,99,507944,en,Music is Music/Crazy Girl Crazy,"In a poetic composition of song, narration, and images, this film follows Canadian soprano and orchestra conductor Barbara Hannigan, accompanied by the Ludwig Orchestra, as she records her album Crazy Girl Crazy. Why did she choose these three pieces, in essence so different, but which intimately resonate with her: Berioâ€™s Sequenza III, Bergâ€™s Lulu Suite, and Gershwinâ€™s Girl Crazy? With this musical voyage peering into a world of precision and sharing, where a passionate woman brings forth a vocal tour de force, Mathieu Amalric, CÃ©sar winner for Best Actor in 2005 and 2008, shows us once more his talent behind the camera with this new opus that goes beyond a mere artistâ€™s portrait.",0.6,/vh2hl8qnvU4usKfTxL2ow7O8xF1.jpg,43021,Music is Music/Crazy Girl Crazy,FALSE,0,0,42510.70853,60770.06374,English,Documentary
1032,FALSE,/ucq2e7p5JuDnUoOKCU8F7VSfreT.jpg,87,507955,en,Caronte,A self-absorbed teenager somehow contacts another universe after she's injured in a car accident.,1.061,/wMrwDntGP4D90UAoBhVqd6ET9di.jpg,43016,Caronte,FALSE,6,6,18431.90169,14781.9907,English,Science Fiction
1033,FALSE,/3HvDOxKBT1n0xv1NH0bPYpdPFw5.jpg,,507966,en,Strange Rituals,"After a night of heavy drinking, Jeanne and Deb take an empty road through the backwoods to avoid traffic where they unexpectedly hit a mysterious woman that quickly vanishes into a field. Plagued with guilt and unable to go to the police, the girls decide to investigate with the help of some friends. But when their peers start to die or inexplicably vanish, it becomes clear that a bigger, sinister force is at work as Jeanne is thrown into a bizarre conflict with the undead and a sinister voodoo priest with malicious intentions.",2.358,/hHK9saAl28PU3LQgOmhb4T9YiiC.jpg,42814,Strange Rituals,FALSE,3,1,61469.45911,75418.69038,English,
1034,FALSE,,35,507970,en,Heavens to Betsy,"An aspiring children's book author comes to a better understanding of God's will after each and every one of her prayers from past to present are suddenly answered all at once, erasing her past and altering everything in her present.",0.6,/vTzsRXVuDUZjWggrnyhbqwsupAW.jpg,43018,Heavens to Betsy,FALSE,0,0,53847.33355,5380.950552,English,Comedy
1035,FALSE,,,507974,en,Fatum: Room 216,"On a Sunday afternoon, a man is asked to come to the police station to see if he can be of any help in the investigation of the rape and murder of two women.",0.6,/1vkhRIM7rjbuXtxrv4ODXFL4Xm5.jpg,43059,Fatum: Room 216,FALSE,8,1,69060.6822,98896.93005,English,
1036,FALSE,,27,507979,en,Elly,"Elly Albers is a shy film student in her second year at college. Trying to advance her standing in class, she agrees to take part in a found-footage horror film - and gets more horror than she expected.",0.6,/AcU94Lpf60cr4N6wIaxKRKMM33.jpg,42767,Elly,FALSE,6,1,99325.91128,54248.12854,English,Horror
1037,FALSE,,35,507984,en,Count Arthur Strong Brings You: The Sound Of Mucus,"Using stories and other things that are secret, Count Arthur Strong, showbiz legend, pays tribute to one of the best musicals he can remember. Uniquely recreating the salient and poignant moments for your enjoyment. Donâ€™t miss this amazing show.  Count Arthur Strong is ably supported on stage by Terry Kilkelly as Malcom de Tinsell, from Count Arthur Strongâ€™s Radio Show! and Dave Plimmer, who features in Count Arthur Strong on BBC1, as Allan Leslie.  â€˜If you only download one show for something this year buy this one twice and share with a friend. I promise you, you wonâ€™t regret it. And if you do there must be something wrong with you. No refundsâ€™.",1.4,/iz11SGx41WRAeqkbtvRTtBNNeAy.jpg,43052,Count Arthur Strong Brings You: The Sound Of Mucus,FALSE,10,1,69691.19663,14041.27273,English,Comedy
1038,FALSE,,18,507987,en,Redemption Way,"Growing up, Jenny and Autumn were best friends. However, a choice tore them apart. Now it will take an unthinkable sacrifice to reunite them.",0.6,/yPeNGpYiDew15sxeFRAnu2pc1ZN.jpg,42959,Redemption Way,FALSE,6,1,76114.64974,77018.03771,English,Drama
1039,FALSE,,,507994,en,Echoes of the Jurassic,Dinosaur soft tissue found! What does this mean and how does it affect you?,0.6,/s9L0AoUDJgnaLU9tuOkwwrWg6Li.jpg,42736,Echoes of the Jurassic,FALSE,0,0,58088.86203,56082.25819,English,
1040,FALSE,,,494461,en,ascensions,"the luminous interval creates a parallel light upon extinguishing.  an internal radiation of the elements absorbed.  image and afterimage. the crystalline impermanence of the phosphene.  the scratch as wound of time, history inscribed within the image, revealing light.  the frame as the infinite fragment of a world hovering outside of time. a window on to eternity.  the forces that remain after the passage of the vessel.",0.6,/Ah9IBbJqlVRXTwjueraj8fY9DkX.jpg,42843,ascensions,FALSE,0,0,56376.96126,64298.5876,English,
1041,FALSE,/aRm0jAdPoNIFkby2JaqoWMJTe4z.jpg,35,494480,ml,à´†à´Ÿàµ 2,"Aadu 2 revolves around Shaji Pappan and his group of misfits, who take part in another tug-of-war contest to win the golden cup. But along the way they unwittingly get drawn into a deal gone wrong, which involves dangerous smugglers.",4.126,/j5MCmG5n3gg5WUjpQIMwsMFsf9W.jpg,43091,Aadu 2,FALSE,6.7,17,72650.47516,50859.33024,Malayalam,Comedy
1042,FALSE,,99,494484,ro,BraÈ™ov 1987 - doi ani prea devreme,"A documentary covering the Rebellion of BraÈ™ov, from November 15, 1987.",0.6,/3jWiqsGdgRuoUPHQJYuEIMoPRbC.jpg,43041,BraÈ™ov 1987 - doi ani prea devreme,FALSE,9,1,92590.91346,58599.31068,"Romanian, Moldavian, Moldovan",Documentary
1043,FALSE,,99,494487,en,Same Difference,"Freeride, Freestyle and Alpine racing united! Legs of Steel presents the multi-discipline ski film 'Same Differenceâ€™. True to the credo â€“â€˜a film about skiersâ€™, this documentary will provides a one-of-a-kind view into skiingâ€™s diversity. Follow Alpine race legend Felix Neureuther through a testing competitive season full of ultimate highs and lows. Take a ride with Fabian Lentsch, Bene Mayr & Sven Kueenle as they venture to the nerve centre of freeride skiing in Alaska, and watch on with anticipation as Freestyler Paddy Graham and his gang attempt to redefine gravity with the biggest jump ever attempted. The start gates and slopes are different and the rewards may seem wildly contrasting, but itâ€™s all just skiing in the end.",0.6,/hVKRwVraR7kjFPuH3jGX14Fmmad.jpg,43042,Same Difference,FALSE,10,1,10848.33098,88870.59592,English,Documentary
1044,FALSE,,,603339,en,Wandering Wonderland,Experimental Dance Film by Minkyou Yoo.,0.6,/63BC7azk3ad03shBPHW2O6XmLHk.jpg,42736,Wandering Wonderland,FALSE,0,0,9808.787529,70349.30023,English,
1045,FALSE,,35,603346,es,Upa! Remasterizada,"How far would you go to make an independent film? When a director, a producer, and an actress unite to realize their dream of making their first feature, there are no limits in what they are willing to do to accomplish that goal. Stolen locations, amateur work teams, the worst filming conditions, anything goes, even mutual betrayal. The outcome will surprise everyone. Third installment of the Upa! series.",0.6,,42736,Upa! Remasterizada,FALSE,0,0,54.18863457,51675.32735,"Spanish, Castilian",Comedy
1046,FALSE,,,603393,pt,XI - A ForÃ§a,,0.6,/sozH8eaKdIlBbzedZRdozlEdrMP.jpg,43091,XI - A ForÃ§a,FALSE,0,0,10953.20573,40735.57703,Portuguese,
1047,FALSE,,99,603419,en,Balmoral:  A Hidden History,"Documentary offering a behind-scenes look at the secluded royal retreat that covers 50,000 acres of the Scottish Highlands, over 150 buildings, more than 100 employees and is Queen Elizabethâ€™s favourite home. This programme explores the history of Balmoral, what goes into keeping the estate ticking and the events from behind its walls.",1.099,,43095,Balmoral:  A Hidden History,FALSE,0,0,67018.88789,68370.29683,English,Documentary
1048,FALSE,,,603441,en,Football War - OverSimplified,OverSimplifiedâ€™s comedy documentary on the Football War,0.6,/iHIOjUgGWJeAPU1nQm7Kr3GkT6F.jpg,43045,Football War - OverSimplified,FALSE,0,0,53297.72042,78678.87566,English,
1049,FALSE,,,603442,en,The Falklands - OverSimplified,OverSimplifiedâ€™s comedy documentary on the wars of the Falklands,0.6,/jIduvh2jSk7n6NDgOJGJaX0j6cs.jpg,43030,The Falklands - OverSimplified,FALSE,0,0,50820.91983,51459.53002,English,
1050,FALSE,,,603443,en,Hitler - Oversimplified,OverSimplifiedâ€™s comedy documentary on Hitlerâ€™s life,0.6,/NEQqfEz7KN1cQcDieR7Dw2SNUO.jpg,42843,Hitler - Oversimplified,FALSE,0,0,69214.11207,48621.43057,English,
1051,FALSE,,,601560,en,I Have Always Been Watching You,"A young woman wanders about an abandoned cinema, rummaging through its storerooms and curiously exploring the mechanical and celluloid detritus that has been left behind. A sense of transgression is in the air â€“ the woman is, after all, trespassing â€“ and she finds herself constantly being watched by several men who, we assume, oversee the disused property. This vague threat notwithstanding, she projects scraps of old footage, creating a freeform narrative all her own, breathing new life into forgotten artifacts.",0.6,/zuznGr6P2WSdYCfOvXlWEoJsqNT.jpg,42736,I Have Always Been Watching You,FALSE,0,0,94047.86614,77836.6112,English,
1052,FALSE,,99,601588,da,Weltschmerz,"While the world is ablaze, a blind director asks her theater group to help her process her broken heart. In a chaotic and iconographic role play, the group embarks on its search for love's true nature, while the fear of the physical world's limitations are buried deep underneath the stage floor.",0.6,/nugiz7xQK3VCmo6oWq4lh0zpDW3.jpg,42894,Weltschmerz,FALSE,5.5,4,2506.926037,20993.73,Danish,Documentary
1053,FALSE,,16,601614,en,The Candy Man,,0.6,/cy8spsIkqiSAg0Rtxwkz494G7To.jpg,42826,The Candy Man,FALSE,0,0,37914.57894,15388.58971,English,Animation
1054,FALSE,,10402,601619,en,Danny Adler: Trespassin' at King Records - The Last Session on Brewster,"Danny fulfilled his great ambition to play and record in his native Cincinnati's King Records studio. On this unique video, he illegally enters the derelict King building in order to commune with the spirits of the great King Records artists from the past -- and, in so doing, becomes the last musician to ever record at the original studio on Brewster Avenue in Cincinnati's Evanston neighborhood. Video ncludes tracks written by Danny and others that were inspired by his King heroes such as ""Cincinnati' Fatback""",0.6,/dbhJkR3895rubRKodnHyg4YuDCa.jpg,43007,Danny Adler: Trespassin' at King Records - The Last Session on Brewster,FALSE,0,0,50044.29542,88580.56138,English,Music
1055,FALSE,/rNLG2mjSv2EHZqy9RVTQnCtKeLl.jpg,,493211,en,Ma Yesto Geet Gaauchu,Comedy romance film,0.6,/vGdbYHzCPmRijSElt7U6FeDtfz5.jpg,42930,Ma Yesto Geet Gaauchu,FALSE,7,1,52319.11984,69026.02997,English,
1056,FALSE,/iZmK1fz97d5nkHZcMqlWBowSy3z.jpg,10749,493212,en,Jhyanakuti,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.,0.6,/AprkFcdqjJUoTjl5rAbVrMkfhfi.jpg,43056,Jhyanakuti,FALSE,8,1,8320.978186,10830.67262,English,Romance
1057,FALSE,,,493242,fr,Rester vivants,,0.6,,43068,Rester vivants,FALSE,0,0,44408.09292,83054.02452,French,
1058,FALSE,/9W2ZsAduMb70jB0tmzcFVUGYI5a.jpg,10751,493253,en,Undercover Angel,"Looking for a fresh start, Robin, a recently divorced mother moves to a small town with her daughter, Sophie  where she has purchased a fixer-upper. Needing help with the renovations on her new home, she hires a handyman, Henry  her meddling guardian angel, who helps her with so much more.",5.038,/m5T1Q5EK78c2gGRFueIG9aNEDiM.jpg,43071,Undercover Angel,FALSE,6.7,15,32869.09604,63506.70444,English,Family
1059,FALSE,/ueByJMHM9PntNgHl2F90eVzckOG.jpg,18,493274,te,Juliet Lover of Idiot,"Vara is an orphan, vagabond valet driver who has a massive pile-up of debt to pay. Julie is the quintessential rich girl he loves to stalk. But when their relationship goes south and he ends up embroiled in a comedy of errors, how will Vara cope?",0.654,/zxL33tCPELKcj9RQmt5hRnmmgKD.jpg,43084,Juliet Lover of Idiot,FALSE,0,0,78204.1387,89819.35041,Telugu,Drama
1060,FALSE,,,529614,pt,Rock Das Galinhas,,0.6,/9p53kg7KJgpdkr0bu4fdVP80hbh.jpg,42898,Rock Das Galinhas,FALSE,0,0,37302.28714,19758.65034,Portuguese,
1061,FALSE,,,529618,pt,Soil,,0.6,/bP2U49El6DNPokXhV5qPxoQz9Zd.jpg,42898,Soil,FALSE,0,0,78299.11949,48334.61262,Portuguese,
1062,FALSE,,99,529635,en,Greetings from Tromaville!,"Greetings from Tromaville follows the history of Lloyd Kaufman and Troma Entertainment. Lloyd, along with his partner Michael Herz, founded Troma in 1974. Troma is an independent film company that has produced edgy, bold, humorous, and sometimes ""over the top"" films for more than 40 years.",1.4,/lTmWJPByGTVYd0HVWiGXq9qldz2.jpg,43069,Greetings from Tromaville!,FALSE,0,0,66342.59752,10043.27548,English,Documentary
1063,FALSE,,,529645,ta,Tharisu Nilam,"Tharisu Nilam is a Tamil movie released on 10 Nov, 2017. The movie is directed by T. Rangarajan.",0.6,/q6tddXIwcj9D96uHLgcDxLawctb.jpg,43049,Tharisu Nilam,FALSE,0,0,52354.75624,22866.42794,Tamil,
1064,FALSE,,16,526514,de,Megatrick,The Big Bang has nothing on this.,0.689,/htq7dfNc3PXqXGYacqOHY0OaM44.jpg,43040,Megatrick,FALSE,5.7,3,28690.96498,68548.34024,German,Animation
1065,FALSE,,99,526549,ja,KyÃ´bÃ´ na made no chinmoku,"December 21, 2015. The image of a fox was captured by a camera inside the unit 2 building at Fukushima No.1 nuclear power plant... A film-essay about contemporary Japan in the aftermath of March 2011 earthquake.",0.604,/r8Q4GBiYymEWrrBXbaDgm82ELf5.jpg,43019,"Savagely, silence",FALSE,0,0,23099.38001,27826.23398,Japanese,Documentary
1066,FALSE,/5wII2SvxRNpKDjCK4Gv20FRntDx.jpg,,526553,es,Pasao de libras,Three fat guys get into diverse troubles as they decide to undergo weight-reducing surgery.,0.6,/e0ppvsrVeAF4LvLnmp0NPwhOXTl.jpg,43027,Pasao de libras,FALSE,8,1,86887.07309,48877.63772,"Spanish, Castilian",
1067,FALSE,/xHWv5v1AT7JxbG16Zp5vK05f693.jpg,35,526568,ja,HedorÃ´ba (ãƒ˜ãƒ‰ãƒ­ãƒ¼ãƒ),,1.966,/qHd6X77mGGr65Jc5Y77rMSBqTBI.jpg,43078,Hedoroba,FALSE,3,2,16358.99561,62401.45034,Japanese,Comedy
1068,FALSE,/czvH6mzAK34bI9X0zAycRKmzjvM.jpg,18,526598,zh,æˆ‘æ¥è‡ªçº½çº¦ 2: å½“æˆ‘ä»¬åœ¨ä¸€èµ·,Sequel to the critically acclaim The Kid From The Big Apple. Sarah is back in Malaysia to spend her holiday with grandpa who is showing signs of dementia.,1.812,/9VmLJFikglJsv7NeNUVxO3Cyf12.jpg,43055,The Kid from the Big Apple: Before We Forget,FALSE,0,0,42905.06115,263.6224793,Chinese,Drama
