Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1373,FALSE,/u7XZEBUfDzupLbNItn6EEta8gzA.jpg,"[28, 35, 10749]",456565,hi,जुड़वा 2,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world.",4.959,/n8x7UzrDfQcl7XcBQoL99DI1qYI.jpg,29-09-17,Judwaa 2,FALSE,5.7,85,10000000,34500000,India,Action,tt5456546,2017
1390,FALSE,,"[27, 53]",428642,ml,എസ്ര,An urban couple Ranjan Mathew and Priya have just moved to Kochi when powers of the supernatural start to take over their lives. How they tide over the forces forms the story.​,4.89,/4nOjXXYW67BEdSdJYMKdXySSLn7.jpg,10-02-17,Ezra,FALSE,6,30,1500000,7800000,India,Horror,tt5892746,2017
1416,FALSE,/h3OIAsdCIBAiTifvtZtrWPoGhlX.jpg,"[10752, 99]",428501,en,City of Ghosts,"With unprecedented access, this documentary follows the extraordinary journey of “Raqqa is Being Slaughtered Silently”—a group of anonymous citizen journalists who banded together after their homeland was overtaken by ISIS—as they risk their lives to stand up against one of the greatest evils in the world today.",4.805,/c1RxAfjPsSWV1PxuxnJM9BXMTFP.jpg,14-07-17,City of Ghosts,FALSE,7,54,0,128015,United States of America,War,tt6333056,2017
1428,FALSE,/mRo5TGAImBPyO1PidAqmOWdsPv7.jpg,"[16, 18, 14]",461078,ja,きみの声をとどけたい,"The story focuses on high school girl Nagisa Yukiai who lives in a seaside town. She has believed her grandmother's story that spirits dwell in words and they are called ""kotodama"" (word spirit). One day, she strays into a mini FM station that has not been used for years. As an impulse of the moment, she tries to talk like a DJ using the facility. But her voice accidentally broadcasted reaches someone she has never expected.",4.764,/xYCPYfrHqxyHfJSh9gHd7geneaC.jpg,25-08-17,Your Voice -KIMIKOE-,FALSE,6.4,18,0,3891,Japan,Animation,tt7283052,2017
1440,FALSE,/519qFDWmi48RgHLd1TFy4wOXs4n.jpg,[18],452000,de,Western,"A group of German construction workers set out for a foreign construction site in the Bulgarian province. The strange country awakens adventure feelings among the men. At the same time, they are confronted with their prejudices and mistrust. For two of the men, a nearby village becomes the stage for a competition for the recognition and favor of the village.",4.729,/tLWwFrU0JFHIzQzxDpF8CKxfeey.jpg,24-08-17,Western,FALSE,6.6,84,1800000,0,Germany,Drama,tt5157326,2017
1472,FALSE,/jUCDtYmQgIpySFQ4d1VZdMDwREI.jpg,"[28, 12, 10749]",439601,ml,CIA: Comrade In America,"A young Aji Mathew is a communist who goes the whole nine yards for the ideologies he believes in. When the girl he loves leaves to the US out of the blue and her parents fix her wedding, Aji is left with just a fortnight to reach the country albeit with no passport or visa. How far he is willing to go for love forms the plot.",4.647,/4pUgRFz0RW6l5MUD8suiqWVGay.jpg,05-05-17,CIA: Comrade In America,FALSE,6,29,1400000,3900000,India,Action,tt5925772,2017
1473,FALSE,/8eZKaiBMUu0nPcIp9WC3l5ooakB.jpg,"[35, 10751, 10749]",467634,es,El fútbol o yo,A sports fan loses everything for being addicted to his team and soccer. He then starts a quest to find a cure and recover his wife's love.,4.641,/xwKUS69UvdWUdr4ADeqCPv9lFih.jpg,10-08-17,My Love or My Passion,FALSE,5.5,27,1900000,6543075,Argentina,Comedy,tt4726988,2017
1479,FALSE,/oXfr4RVjvx0UZ4Vxp1eQ68WPLsW.jpg,"[37, 80, 53]",432641,en,Valley of Bones,A paleontologist gets a tip from an oil worker in the Badlands that may set her career back on track.,4.626,/yRaOLJumjzBq6xFNZMVZdnKlI0W.jpg,01-09-17,Valley of Bones,FALSE,5.1,10,3000000,168738,United States of America,Western,tt4180286,2017
1485,FALSE,/fXnYLKV30ztXkV2jqQ9KCrgmQ9Z.jpg,"[12, 10751, 14, 16]",441957,ru,Урфин Джюс и его деревянные солдаты,"The cunning and wicked Urfin wants to become ruler of Magic Land. With an army of wooden soldiers, he captures the Emerald City and renames it ti Urfinville. He is all but ready to celebrate victory, when his plans are ruined by an ordinary girl named Dorothy, who arrives in Magic Land just at the right time. She must return home, but not before she helps her friends - the Scarecrow, the Tin Man, and new-brave Lion - defeat Urfin. And in order to do that, they need to find out who he really is.",4.6,/fYG0IvEdQ54KM7r6IQ0ETrGj4Il.jpg,20-04-17,Fantastic Journey to Oz,FALSE,6.3,17,0,5970922,Russia,Adventure,tt4685636,2017
1493,FALSE,/f32kdqyJJZeAQBzGa7EPB6ZwMJJ.jpg,[878],447352,en,Taking Earth,The human race is thrown into chaos as an alien invasion takes control of the planet in an effort to find one boy out of 7 billion people who holds the power to destroy them.,4.579,/39z9HzGt72qG5wV8jXeCS8oL2tk.jpg,01-05-17,Taking Earth,FALSE,3.7,34,250000,0,South Africa,Science Fiction,tt4290974,2017
