,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
781,4035,False,/6Yzuuk2Has10jRhIY5W0Gi3jy6z.jpg,[18],465240,pl,Ptaki śpiewają w Kigali,"We meet ornithologist Anna in 1994 just as genocide is raging in Rwanda, perpetrated by the majority Hutus against the Tutsis. Anna manages to save the daughter of a colleague whose family has been murdered, and she takes her to Poland. But the woman returns to Rwanda to visit the graves of her loved ones. The director originally worked on the movie with her husband Krzysztof Krauze (My Nikifor – Crystal Globe, KVIFF 2005), but after his death in 2014 she eventually finished this challenging picture alone.",1.595,/su4ZKk5ZUbtyvTV9QXgVd7nI7U6.jpg,22-09-17,Birds Are Singing in Kigali,False,5.8,13,1480000,0,Poland,Drama,tt7106928,2017
782,4039,False,,"[35, 27]",451388,en,Cool As Hell 2,The quest for God's bong.,1.593,/xaC0gojMKynS4sFI1NgCYyHjZ51.jpg,17-07-17,Cool As Hell 2,False,4.0,1,80000,0,United States of America,Horror,tt6745192,2017
783,4045,False,/rDpjwjX8s3TuKbNhsgFwJmP19BX.jpg,"[28, 53]",499990,kn,Mufti,"An undercover cop goes into the big bad world (Ronapura), an place taken over by a don, where his safety may be compromised.",1.592,/3kdDE9eDWSYOHcU4DBJzU1PC0DR.jpg,01-12-17,Mufti,False,9.0,4,0,2950564,India,Action,tt6405208,2017
784,4069,False,/rc2RusjZOk8bTJcK2lmxfrvaL3s.jpg,"[28, 53]",493621,en,Blood Circus,"A retired MMA world champion gets caught up in an underground fight club called the ""Blood Circus"" and must fight to survive and save his family.",1.578,/tO6pIgPt4S6oAu2gUSbwZGslrA0.jpg,19-12-17,Blood Circus,False,6.0,2,750000,0,United States of America,Action,tt4247828,2017
785,4079,False,,[18],448289,en,Beautiful Devils,"A modern retelling of Shakespeare's Othello set within the music scene of East London. Oz and Ivan are lifelong friends and music producers. When Oz gets offered a lucrative recording contract, he makes the decision to separate from Ivan professionally. This rejection turns to rage, as Ivan plots to undermine Oz's success and get him kicked off the label. The plan kickstarts an escalation of jealousy and paranoia in Oz. With deadly consequences.",1.573,/uHo2ULuiIAHzqG3bJmEh4Vc9Njs.jpg,22-03-17,Beautiful Devils,False,10.0,1,500000,0,United Kingdom,Drama,tt4663284,2017
786,4086,False,/bFT0lcU5oWfeccCxiHm7pXGlHpu.jpg,"[53, 9648, 27]",445981,th,สยามสแควร์,A group of high school students try to capture evidence of an urban legend on film but soon realize that they're the ones being watched.,1.568,/h5zB0t0wv43n74UOKkFr1AuqTKX.jpg,30-03-17,Siam Square,False,6.0,8,0,307716,Thailand,Thriller,tt6750506,2017
787,4095,False,/zIAbwnSOjIuNndozhvsED1tJKra.jpg,[18],450045,ml,സഖാവ്,"Comrade Krishna Kumar wants to make it big in politics but lacks the ideals a sakhavu should possess. He is ruthless enough to even get rid of friends who might be possible hurdles on his way up. His paths cross with that of a veteran comrade, sakhavu Krishnan and the film depicts how his life influences Krishna Kumar.",1.566,/orvGUwvIGtd65BeE1haFqvrGRvS.jpg,14-04-17,Sakhavu,False,5.0,16,780000,2200000,India,Drama,tt6168002,2017
788,4102,False,/dxT6C32FcV0D2byDIFWkQaDwmb3.jpg,"[16, 10751]",486435,zh,豆福传,"Set in the Han Dynasty. Liu An, the royal lord of Huainan, is addicted to cultivate immortality. Beans are collected for making immortality pills but transform to humanoid lives.",1.563,/8jFyiSLISy3onFn6jWcqnH1lNQa.jpg,28-07-17,Tofu,False,5.0,2,0,2825497,China,Animation,tt7320156,2017
789,4131,False,/iuSoAlLdZ0vhjpoT9AiDjvtrAEb.jpg,[878],503658,en,The Invisible Man,"A modern retelling of H.G. Wells classic novel, The Invisible Man. Motivated by the death of his son, Griffin, a brilliant but eccentric scientist discovers a method to invisibility.",1.546,/aOkwiTLVVN6BZMSZENg1dC5dQt3.jpg,12-12-17,The Invisible Man,False,5.0,3,50000,0,United States of America,Science Fiction,tt7651078,2017
790,4137,False,/7jGA0MXeIjvdY7pnojr7mveT3xs.jpg,"[35, 10402, 10749]",437962,zh,52 Hz I Love You,"'Cape No. 7' director Wei Te-Sheng returns to his melodic roots with Taiwan's first musical, '52Hz, I Love You.'",1.542,/dpOAp4j96awulZ9uYyXNAH18P2E.jpg,26-01-17,"52Hz, I Love You",False,4.8,8,2650000,1500000,Taiwan,Comedy,tt6327400,2017
791,4152,False,/jgjP3u7gfiAQ9YiynJH3tFBePzr.jpg,[35],558117,en,Burguesinha,"When her Brazilian, senator father is arrested for involving his entire family in campaign finance fraud, a spoiled, rich, Brazilian socialite must suddenly start a new life in America without friends, money, a place to live or a greencard.",1.529,/5sV4p7sxYkZNnW98MpeEvrIMdtg.jpg,05-10-17,The Socialite,False,6.2,5,300,0,United States of America,Comedy,tt5441282,2017
792,4156,False,/sjzilg0o3Ynd1kbQi6xUdrw7JfY.jpg,"[18, 10751]",435410,te,శతమానం భవతి,"The anguish that negligent children can cause is depicted here from the parents' perspective.  Raghavaraju (Prakash Raj) is a farming landlord in Atreyapuram village of Andhra Pradesh. He lives with his wife Janakamma (Jayasudha), along with his son Bangararaju (Naresh) his wife, and his son Raju (Sharwanand). Raghavaraju lives in this ancestral house built by his forefathers consisting of many generations living in the same household as a Joint family. However with changing times Ragahvarju's NRI sons and NRI daughter live in the United States, Canada, and Australia as nuclear families. After a gap of 10 years, all his children arrive in the village during the holiday season of Makar Sankranti, under mysterious circumstances after they receive an email from Raghavaraju who expresses his wish to divorce his wife Janakamma. What happens next and the events leading to this mysterious situation, and how Raghavaraju conveys his midlife crisis to his children forms the crux of the story.",1.528,/jYlG2qUdmaeCerlbqyJwBYyeF7u.jpg,14-01-17,Shatamanam Bhavati,False,5.9,7,1200000,8100000,India,Drama,tt6417204,2017
793,4160,False,/am3cN4WODgtxa2RnBQYk1Ysv3fM.jpg,[27],554220,en,Satanic Meat Cleaver Massacre,Satan demands worship but now he demands a meat cleaver massacre. A town under the control of the devil and a mystery killer on the loose leads to shock after shock.,1.525,/sBkaa6TK1fDuorkJ13LqSqHdfX6.jpg,28-07-17,Satanic Meat Cleaver Massacre,False,5.5,2,500000,0,United States of America,Horror,tt7202354,2017
