,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1932,False,,[99],503578,en,Wonders of the Moon,"Documentary which uses the latest, most detailed imagery to reveal the monthly life cycle of the moon. From Wales to Wyoming, Hong Kong to Croydon, the programme finds out how the moon shapes life on Earth, as well as exploring its mysterious dark side and discovering how the moon's journey around Earth delivers one of nature's most awe-inspiring events - a total solar eclipse. And at the end of a remarkable year of lunar activity, we find out why so many supermoons have been lighting up the night sky.",2.197,/ciJCxwdgNQDbSjwTNEo52OCz6V6.jpg,2018-01-31,Wonders of the Moon,False,6.0,3
1933,False,/ywHGodEYoqY7vDckUypPKceqHLT.jpg,"[28, 878]",503579,en,Apocalypse Rising,A human girl and her warrior comrades from another world travel to Earth to save humanity from an impending apocalypse.,2.625,/a2JAzb3CSt2DlmFGzjhms57QyMQ.jpg,2018-06-12,Apocalypse Rising,False,3.9,8
1934,False,,[28],503586,en,High Alert,,0.6,/sMAu6WIhVsrJdq88gBnx2JP3m7W.jpg,2018-03-01,High Alert,False,0.0,0
1935,False,/4mcGuE1Y17mdM66yaVntecPy0zT.jpg,"[28, 14, 878]",503601,en,Gathering of Heroes: Legend of the Seven Swords,"In the mystical realm of Ryntia, the forces of the underworld are aligning to unleash a plague of evil upon the surface. The deadly bat-like Blood Reavers, the Saurian Maurauders, the Orcish Warmongers and the feline Shadow-cat mercenaries have pledged their respective clans to the service of Bre'Gwen, queen of the deep elves. Together they seek to destroy the human and Elven kingdoms and rule all of Ryntia in the name of evil.",1.82,/rn65oJoWdMhcs7uhX7nh5h5G1JE.jpg,2018-01-02,Gathering of Heroes: Legend of the Seven Swords,False,8.0,2
1936,False,,[],503605,ko,욕구불만녀:많이 쌓였어요,"A woman who annoys the man next door with her husband's affair, the couple's relationship, and the accumulating dissatisfaction. The man next door, who fights with the woman next door, ends up with a criminal record, and uses her revenge to dig a trap that induces the woman next door to have an affair and makes him his own woman.",0.6,,2018-01-19,Dissatisfied girl: I have accumulated a lot,False,0.0,0
1937,False,/ftrKmHhFAfILMsEzxl6c3aIzx2T.jpg,"[14, 9648, 53]",503606,zh,灵魂摆渡·黄泉,,1.339,/bEsZhAZsFOgP61SgfpM1GrNKdKW.jpg,2018-02-01,The Ferry Man Manjusaka,False,5.5,4
1938,False,,[18],503607,ko,여자친구,,2.794,/5yv8KcqfN1LICuCOQbPLw9c0ylM.jpg,2018-02-27,Girlfriend,False,0.0,0
1939,False,/gZ1n5lvEWLTQgmVbeKHyfIUrqgx.jpg,"[10749, 35]",503616,en,Second Act,"Maya, a 40-year-old woman struggling with frustrations from unfulfilled dreams. Until that is, she gets the chance to prove to Madison Avenue that street smarts are as valuable as book smarts, and that it is never too late for a second act.",19.25,/maUMIZVGs8g1hYtq4dQ9Lg9FtVF.jpg,2018-11-22,Second Act,False,6.4,1057
1940,False,/h7ZsXi0b7ikKNLnvdEtwVZcphZb.jpg,[35],503619,en,The Package,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",26.922,/70mP0nwUmtaL44Y8aoUn6uBjJON.jpg,2018-08-10,The Package,False,6.0,1030
1941,False,,[18],503624,id,Bunda: Kisah Cinta 2 Kodi,,1.398,/eLUcrvSVujZc2YPQ11dx7paBnjN.jpg,2018-02-08,Bunda: Kisah Cinta 2 Kodi,False,0.0,0
1942,False,,[],503627,en,Nobody Knows,"In the wake of his brother's death, a quiet high schooler navigates his small Texas town, all while knowing he is responsible for the accident.",0.938,/9g0idQnaGoKvqD9gwW37arz05B8.jpg,2018-10-18,Nobody Knows,False,0.0,0
1943,False,,[],503632,en,Oh My...,Animated dream journey from the wasteland to a secret source of life and rebirth.,0.6,/6fyiAz3MCVd2JWtw1KABtufex4z.jpg,2018-02-06,Oh My...,False,0.0,0
1944,False,/ggCVe6XE5vQO40PyGBhK5GojuCB.jpg,[],503639,fr,"François Fillon, l'homme qui ne pouvait pas être président",,3.549,/xjxoOU2cpPCAnoMwfqunqdDUgX1.jpg,2018-02-04,"François Fillon, l'homme qui ne pouvait pas être président",False,0.0,0
1945,False,/sEUD9cOv0Qyp6Kla0R7zXG7XCHi.jpg,[99],503646,en,The Bray Road Beast,A new documentary about the legendary animal,2.559,/g2XEZrUhG4kAyjrvw1C33K4DgDP.jpg,2018-10-01,The Bray Road Beast,False,5.9,9
1946,False,/86QDCAmRQlvnUyavs2y5ro1vNXB.jpg,[99],503649,fr,Là où les putains n’existent pas,"The tragedy of Eva-Marree, deprived of her children for prostitution then killed by their father. In a convincing indictment, director Ovidie denounces the abuse of power by a supposedly protective Swedish state.",1.615,/gwwmY4JbjZaaKZwWw4CAKLcjXEJ.jpg,2018-02-06,Everything's Better than a Hooker,False,7.3,6
1947,False,/q3vsxLaeM28hulxe5UI5OwkCbgp.jpg,"[80, 18]",503112,fa,مغزهای کوچک زنگ‌ زده,"The story is about a family of three brothers and a sister in the suburbs of the city's poverty. Their elder brother owns a drug-producing kitchen and presides over the group, like a shepherd for sheep.",1.313,/ua4QaktLoEHdv59IHjYrEGt99ar.jpg,2018-02-05,Sheeple,False,6.3,16
1948,False,/xdzJm0Xwl1VC2RFlCFHuSJD1Fim.jpg,"[99, 36]",504305,fr,L'Insoumis,,1.06,/2RCM9vdHSVxedsAoHTqOJHx2LKm.jpg,2018-02-21,L'Insoumis,False,7.4,7
1949,False,/jsVGsyFb4jI6hDxU0WcJ6Kq6P7Y.jpg,"[16, 99, 10402]",504312,en,Pink Feathers,"Richard Rhodes, AKA Cookie MonStar, has been in the drag industry for 21 years. This Documentary follows the highs and lows of his successes and failures. It focuses on following your dreams, what it is to be a man and the pressures of life within the industry. This is an insight into the entertainment industry; shows you the underground and commercial drag scenes; asks you what it is to dream and inspires you to question yourself and your beliefs.",1.249,/aZ975PpCw71MjQ2BrgbPsvS2RnM.jpg,2018-02-02,Pink Feathers,False,8.0,1
