,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
3746,1085.0,False,/fRtQdiESAdt9rjXCvZhvkmprvac.jpg,"[16, 10752, 18]",435129.0,en,The Breadwinner,"A headstrong young girl in Afghanistan, ruled by the Taliban, disguises herself as a boy in order to provide for her family.",12.82,/2d6qmkJz9AWqmk9wBWtd2uFX89t.jpg,17-11-17,The Breadwinner,False,7.9,671.0,0.0,312381.0,Ireland,Animation,tt3901826,2019.0
3747,1094.0,False,/u8IIXvpP12Njywuays2yP5v5mwP.jpg,"[10752, 18]",435577.0,no,Den 12. mann,"After a failed anti-Nazi sabotage mission leaves his eleven comrades dead, a Norwegian resistance fighter finds himself fleeing the Gestapo through the snowbound reaches of Scandinavia.",12.761,/dxZ8iGf5jQoLcNqBJL6uzNTivp.jpg,25-12-17,The 12th Man,False,7.3,418.0,7806306.0,9567121.0,Norway,War,tt3300980,2019.0
3748,1095.0,False,/1btUYcOIfh5JrKPhLh2HlbzsgCa.jpg,"[12, 14, 28]",497727.0,ru,За гранью реальности,Contemporary Moscow. A talented gambler gathers a team of people with supernatural powers to win big at a casino. But they find a much stronger mystical rival.,12.757,/kwMJqbY9jzFOf3g7UgAquMRt8kF.jpg,01-03-18,Beyond the Edge,False,5.5,134.0,0.0,2244848.0,Russia,Adventure,tt5629524,2019.0
3749,1097.0,False,/1NeA92Pk1eCHpU3LnWo8zvsks0V.jpg,"[12, 18, 10749]",514921.0,en,The Aeronauts,"In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.",12.749,/kZHnblqmTBUBgzYBIxWIz9txsEi.jpg,04-11-19,The Aeronauts,False,6.8,906.0,40000000.0,0.0,United Kingdom,Adventure,tt6141246,2019.0
3750,1102.0,False,/R2cpJHKCY0kQaaBV29tM8QVJ8B.jpg,"[10749, 18]",428493.0,en,God's Own Country,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",12.742,/uKShYyGsleXAZ6e6gK5jF6Wa2tW.jpg,01-09-17,God's Own Country,False,7.8,757.0,0.0,2559939.0,United Kingdom,Romance,tt5635086,2019.0
3751,1106.0,False,/5d2hwlRN0YMTfodid5Dgn8XOrVR.jpg,"[18, 10749]",429189.0,en,Wonder Wheel,"The story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s: Ginny, an emotionally volatile former actress now working as a waitress in a clam house; Humpty, Ginny’s rough-hewn carousel operator husband; Mickey, a handsome young lifeguard who dreams of becoming a playwright; and Carolina, Humpty’s long-estranged daughter, who is now hiding out from gangsters at her father’s apartment.",12.714,/gKYpAL1A01T9a1taGXAyfqXjI5x.jpg,01-12-17,Wonder Wheel,False,6.4,1190.0,25000000.0,15366466.0,United States of America,Drama,tt5825380,2019.0
3752,1108.0,False,/ued7mN6bSZCiq667wdhmkUYZOgJ.jpg,"[80, 53]",509853.0,en,The Fanatic,A rabid film fan stalks his favorite action hero and destroys the star's life.,12.698,/nojx83s8JWyYpI9oeKdQXniWMu6.jpg,30-08-19,The Fanatic,False,4.5,226.0,18000000.0,3153.0,United States of America,Crime,tt7869070,2019.0
3753,1109.0,False,/808PRFyIR04myiBwBuDlZ0DT2DS.jpg,"[35, 18]",400579.0,en,Tully,"Marlo, a mother of three, including a newborn, is gifted a night nanny by her brother. Hesitant at first, she quickly forms a bond with the thoughtful, surprising, and sometimes challenging nanny named Tully.",12.69,/wDI4YXBXolMYi15Qx2kClvdSERM.jpg,04-05-18,Tully,False,6.8,1247.0,0.0,15636462.0,Canada,Comedy,tt5610554,2019.0
3754,1113.0,False,/w7ghzBgSkAsf4b2NrMr7N54pkBS.jpg,"[12, 14, 28]",435800.0,zh,西游·伏妖篇,"Tang Monk brings three disciples on a journey to the West. On the outside, everything seems harmonious. However, tension is present beneath the surface, and their hearts and minds are not in agreement. After a series of demon-capturing events, the monk and his disciples gain mutual understanding of each others' hardships and unease. Finally, they resolve their inner conflict and work together to become an all-conquering, demon-exorcising team.",12.677,/aBwcH7Wb1j14s2YsNeKkOIAUBuw.jpg,28-01-17,Journey to the West: The Demons Strike Back,False,6.1,69.0,63300000.0,731607.0,China,Adventure,tt5273624,2019.0
3755,1114.0,False,/tVVnTrEnFpMHO2B94KSJK5rQDhm.jpg,"[10751, 16, 12, 35, 14]",564145.0,ru,Снежная Королева: Зазеркалье,"A mighty king has lost his family because of the Snow Queen. He finds a way to expel all magic creatures from his world to Mirrorlands. Gerda and Snow Queen, along with all wizards and magicians, have to forget their offenses and disputes to defend their right to exist and not to allow fairytales to disappear from our lives.",12.675,/8251dVxltnhqbt2DaO9bwJYmvAK.jpg,21-12-18,The Snow Queen: Mirror Lands,False,7.8,57.0,5125000.0,0.0,Russia,Family,tt8255452,2019.0
